State,Common_name,Scientific_name,Not_in,In
Alabama,longleaf pine,Pinus palustris,,1
Alaska,sitka spruce,Picea sitchensis,1,
Arizona,blue palo verde,Parkinsonia florida,1,
Arkansas,loblolly pine,Pinus taeda,,1
California,coast redwood,Sequoia sempervirens,1,
California,giant sequoia,Sequoiadendron giganteum,1,
Colorado,blue spruce,Picea pungens,1,
Connecticut,white oak,Quercus alba,,1
District of Columbia,scarlet oak,Quercus coccinea,,1
Delaware,American holly,Ilex opaca,1,
Florida,cabbage palmetto,Sabal palmetto,1,
Georgia,live oak,Quercus virginiana,,1
Hawaii,candlenut tree,Aleurites moluccana,1,
Idaho,western white pine,Pinus monticola,1,
Illinois,white oak,Quercus alba,,1
Indiana,tulip poplar,Liriodendron tulipifera,,1
Iowa,bur oak,Quercus macrocarpa,,1
Kansas,eastern cottonwood,Populus deltoides,,1
Kentucky,tulip poplar,Liriodendron tulipifera,,1
Louisiana,bald cypress,Taxodium distichum,1,
Maine,eastern white pine,Pinus strobus,,1
Maryland,white oak,Quercus alba,,1
Massachusetts,American elm,Ulmus americana,,1
Michigan,eastern white pine,Pinus strobus,,1
Minnesota,red pine,Pinus resinosa,1,
Mississippi,southern magnolia,Magnolia grandiflora,1,
Missouri,flowering dogwood,Cornus florida,,1
Montana,ponderosa pine,Pinus ponderosa,,1
Nebraska,eastern cottonwood,Populus deltoides,,1
Nevada,single-leaf pinyon,Pinus monophylla,1,
Nevada,bristlecone pine,Pinus longaeva,1,
New Hampshire,paper birch,Betula papyrifera,,1
New Jersey,northern red oak,Quercus rubra,,1
New Mexico,pinyon pine,Pinus edulis,1,
New York,sugar maple,Acer saccharum,,1
North Carolina,longleaf pine,Pinus palustris,,1
North Dakota,American elm,Ulmus americana,,1
Ohio,Ohio buckeyes,Aesculus glabra,1,
Oklahoma,eastern redbud,Cercis canadensis,1,
Oregon,Douglas-fir,Pseudotsuga menziesii,,1
Pennsylvania,eastern hemlock,Tsuga canadensis,,1
Rhode Island,red maple,Acer rubrum,,1
South Carolina,sabal palmetto,Sabal palmetto,1,
South Dakota,white spruce,Picea glauca,,1
Tennessee,tulip poplar,Liriodendron tulipifera,,1
Texas,pecan,Carya illinoinensis,1,
Utah,quaking aspen,Populus tremuloides,,1
Vermont,sugar maple,Acer saccharum,,1
Virginia,flowering dogwood,Cornus florida,,1
Washington,western hemlock,Tsuga heterophylla,,1
West Virginia,sugar maple,Acer saccharum,,1
Wisconsin,sugar maple,Acer saccharum,,1
Wyoming,plains cottonwood,Populus sargentii,1,
,,,,33
